"CODAPLIC","DESAPLIC","INDFORMA","INDREST","STSAPLIC","ID_APLICACION","PLATAFORMA","NROPAG","ICONO"
"ACSELWEB","Fortaleza Web","N","N","ACT","1893","02","",""
"AREATEC","Área Técnica","N","N","ACT","1895","02","","fa-calculator"
"MANTCLI","Mantenimiento de Clientes","N","N","ACT","1896","02","20",""
"OPCIONES","Mantenimiento de Opciones","N","N","ACT","1900","02","5",""
"AREASIS","Área de Sistemas","N","N","ACT","1897","02","","fa-database-chart"
"MP201","Pólizas","N","N","ACT","1916","02","201",""
"MENUDINA","Menú Configurable","N","N","ACT","1899","02","4",""
"COTIZA","Cotizaciones","N","N","ACT","1911","02","12",""
