BSC_FECHA,SYR4_GROSS_SALES,SYR4_GROSS_SALES_CMP,SYR4_GROSS_SAL_LY,SYR5_GROSS_SALES,SYR5_GROSS_SAL_LY,SMG_OVERALL,SMG_COUNT,SMG_DEF_ZONE,SYR_GROSS_SALES,SYR_NET_SALES,SYR_NET_SALES_CMP_LY,SYR_NET_SALES_LW,SYR_NET_SALES_LY,SYR_NET_SALES_CMP_LY2,SYR_TRANS,SYR_TRANS_CMP_LY,SYR_TRANS_LY,SYR_CREW_HR,SYR_MNGR_HR,SYR_GUID_HR,SYR_CASH_MM,SYR_LTN_SAL,SYR_EMPL_MEAL,SYR_MNGR_MEAL,SYR_LABOR,SYR_LABOR_SALES_REF,SYR_MNGR_VOID_AMT,SYR_REG_VOID_AMT,SYR_COUPONS,SYR_DISCOUNTS,SYR_SERVICE_TIME,SYR_NET_SALES_HR,SYR_TRANS_HR,SYR2_GROSS_SALES,SYR2_NET_SALES,UNO,SYR3_GROSS_SALES,SYR3_GROSS_SALES_CMP,SYR3_GROSS_SAL_LY,FECHA_REF,DIVISION,AREA,DISTRICT,STORE,INFS_VTA_ACTUAL
4.- Sun 03/14/2021,21759.47,21759.47,17928,203848.39,186860,,,,3086.28,3038.74,3038.74,2151,2230,3038.74,286,286,269,79.62,0,89.3,-26,350,0,0,811,3086.28,0,144.98,11.37,36.17,299.48,3038.74,286,0,0,1,21759.47,21759.47,17928,21P03W1 - 03/14/2021,DIVISION 32,Area  012,Distrito  005,00132 - Pasadena (Are-D5),3038.74
4.- Sun 03/14/2021,28983.22,28983.22,24495,258539.02,237943,2,2,0,4677.97,4528.51,4528.51,3973,3702,4528.51,384,384,341,118.63,0,113.75,20,436,4,0,1174,4677.97,0,26.65,108.33,37.13,175.76,4528.51,384,0,0,1,28983.22,28983.22,24495,21P03W1 - 03/14/2021,DIVISION 32,Area  012,Distrito  007,00595 - Davenport (Are-D7),4528.51
4.- Sun 03/14/2021,41790.92,41790.92,44152,409585.32,443373,,,,5760.88,5687.45,5687.45,5987,4804,5687.45,545,545,559,116.52,0,114.41,-1,981,4.94,13.3,1414,5760.88,0,25.35,36.45,18.74,232.32,5687.45,545,0,0,1,41790.92,41790.92,44152,21P03W1 - 03/14/2021,DIVISION 30,Area  013,Distrito  003,01622 - Congress (Are-D3),5687.45
4.- Sun 03/14/2021,35177.28,35177.28,36809,353744.83,343629,1,2,1,4420.68,4395.85,4395.85,3899,3474,4395.85,432,432,390,88.73,0,97.9,-10,611,0,0,878,4420.68,0,36.25,13.35,11.48,279.11,4395.85,432,0,0,1,35177.28,35177.28,36809,21P03W1 - 03/14/2021,DIVISION 30,Area  022,Distrito  001,01696 - 45th St (Are-D1),4395.85
4.- Sun 03/14/2021,28406.21,28406.21,27280,294010.2,282734,1,1,0,3695.61,3623.61,3623.61,3597,2942,3623.61,354,354,319,106.93,0,110.29,-7,538,0,31.37,1098,3695.61,0,101.03,18.69,21.94,127.45,3623.61,354,0,0,1,28406.21,28406.21,27280,21P03W1 - 03/14/2021,DIVISION 30,Area  023,Distrito  035,01699 - Sunset (Are-D35),3623.61
4.- Sun 03/14/2021,44976.93,44976.93,34648,388142.25,317625,,,,6994.96,6916.87,6916.87,4514,4367,6916.87,609,609,435,102.65,0,133,-7,912,4.2,9,1099,6994.96,0,25.07,38.65,26.24,216.66,6916.87,609,0,0,1,44976.93,44976.93,34648,21P03W1 - 03/14/2021,DIVISION 32,Area  003,Distrito  061,02010 - Dunlawton (Are-D61),6916.87
4.- Sun 03/14/2021,30077.78,30077.78,32548,280014.98,288169,,,,4230.08,4197.97,4197.97,4282,3165,4197.97,362,362,344,112.62,0,96.7,76,358,11.99,0,1253,4230.08,0,19.21,9.25,10.87,,4197.97,362,0,0,1,30077.78,30077.78,32548,21P03W1 - 03/14/2021,DIVISION 30,Area  021,Distrito  004,02013 - Red Road (Are-D4),4197.97
4.- Sun 03/14/2021,31365,31365,27450,284178.36,239284,,,,4821.69,4725.2,4725.2,4493,3718,4725.2,464,464,406,105.82,0,101.83,79,186,13.23,11.99,1088,4821.69,0,8.6,32.7,38.57,157.67,4725.2,464,0,0,1,31365,31365,27450,21P03W1 - 03/14/2021,DIVISION 32,Area  003,Distrito  061,02062 - Williamson (Are-D61),4725.2
4.- Sun 03/14/2021,48736.31,48736.31,43876,452759.99,420549,1,1,0,7750.37,7582.34,7582.34,6696,5517,7582.34,704,704,567,124.33,0,139.64,204,1026,19.88,14.48,1317,7750.37,0,75.89,66.22,67.45,244.02,7582.34,704,0,0,1,48736.31,48736.31,43876,21P03W1 - 03/14/2021,DIVISION 30,Area  022,Distrito  058,02068 - St. Lucie West (Are-D58),7582.34
4.- Sun 03/14/2021,33469.51,33469.51,33025,325438.41,320572,,,,4767.74,4673.77,4673.77,4481,3776,4673.77,450,450,450,119.75,0,108.9,-31,550,0,37.34,1520,4767.74,0,24.16,39.8,16.83,210.5,4673.77,450,0,0,1,33469.51,33469.51,33025,21P03W1 - 03/14/2021,DIVISION 30,Area  024,Distrito  032,02072 - Flamingo Road (Are-D32),4673.77
